Year,Municipality,Population,Mortality_per_1000,Infant_mortality_per_1000,Births_per_1000,Unemployed_total,Average_income,Pharmacies_total,Total_crimes,Marriages_per_1000,Divorces_per_1000
2024.0,Torre De Moncorvo,6638.0,27.5,0.0,3.1,315.0,1036.1,3.0,230.0,2.2,1.8
2024.0,Torres Novas,34986.0,14.3,0.0,6.7,905.0,1298.5,12.0,1036.0,3.0,1.9
2024.0,Torres Vedras,89526.0,10.0,0.0,8.3,2017.0,1232.8,24.0,2300.0,3.3,1.6
2024.0,Trancoso,8402.0,17.9,0.0,4.5,91.0,1131.1,6.0,173.0,3.6,1.9
2024.0,Trofa,40294.0,7.9,6.5,7.6,1125.0,1342.4,8.0,719.0,2.6,1.4
2024.0,Vagos,25167.0,11.3,5.2,7.8,478.0,1275.4,7.0,554.0,3.7,1.1
2024.0,Vale De Cambra,21239.0,13.0,0.0,6.8,345.0,1367.5,6.0,611.0,5.1,1.7
2024.0,Valenca,14297.0,13.7,0.0,7.1,498.0,1158.0,3.0,524.0,2.5,1.2
2024.0,Valongo,101464.0,8.0,1.4,7.1,3232.0,1308.4,18.0,2159.0,4.8,2.0
2024.0,Valpacos,14532.0,19.0,0.0,4.7,505.0,1006.7,7.0,449.0,2.7,0.9
2024.0,Velas,4949.0,16.0,0.0,5.5,,1146.0,2.0,118.0,3.0,2.2
